ticker,close,date
A,161.26,2026-09-21
AA,44.685,2026-09-21
AAL,13.375,2026-09-21
AAOI,108.61,2026-09-21
AAON,77.07,2026-09-21
AAP,42.325,2026-09-21
AAPL,338.78,2026-09-21
ABBV,264.5,2026-09-21
ABCL,12.51,2026-09-21
ABEV,2.995,2026-09-21
ABG,186.82,2026-09-21
ABM,49.65,2026-09-21
ABNB,166.43,2026-09-21
ABT,102.82,2026-09-21
AC.TO,28.36,2026-09-21
ACA,146.44,2026-09-21
ACAD,27.05,2026-09-21
ACHC,29.03,2026-09-21
ACI,12.365,2026-09-21
ACIW,49.87,2026-09-21
ACLS,113.25,2026-09-21
ACM,62.715,2026-09-21
ACMR,73.21,2026-09-21
ACN,187.2,2026-09-21
AD,35.82,2026-09-21
ADBE,247.73,2026-09-21
ADC,67.935,2026-09-21
ADEA,25.265,2026-09-21
ADI,379.87,2026-09-21
ADM,84.31,2026-09-21
ADMA,9.405,2026-09-21
ADP,270.975,2026-09-21
ADPT,28.005,2026-09-21
ADSK,218.87,2026-09-21
ADT,6.635,2026-09-21
ADUS,116.255,2026-09-21
AEE,102.015,2026-09-21
AEHR,97.33,2026-09-21
AEIS,264.815,2026-09-21
AEM,196.91,2026-09-21
AEO,15.32,2026-09-21
AEP,120.57,2026-09-21
AER,143.76,2026-09-21
AES,14.825,2026-09-21
AG,19.165,2026-09-21
AGCO,121.55,2026-09-21
AGI,34.995,2026-09-21
AGX,384.205,2026-09-21
AGYS,100.325,2026-09-21
AIR,115.8875,2026-09-21
AIT,319.88,2026-09-21
AKAM,115.83,2026-09-21
AKR,19.29,2026-09-21
ALA.TO,53.58,2026-09-21
ALB,112.48,2026-09-21
ALC,65.14,2026-09-21
ALG,167.69,2026-09-21
ALGM,34.53,2026-09-21
ALGN,147.36,2026-09-21
ALGT,80.0499,2026-09-21
ALHC,8.115,2026-09-21
ALK,41.645,2026-09-21
ALKS,44.21,2026-09-21
ALKT,18.61,2026-09-21
ALLE,152.28,2026-09-21
ALM,14.58,2026-09-21
ALNY,246.67,2026-09-21
ALRM,53.35,2026-09-21
ALS.TO,67.83,2026-09-21
ALSN,120.155,2026-09-21
ALV,117.755,2026-09-21
AM,21.065,2026-09-21
AMAT,462.89,2026-09-21
AMBA,69.135,2026-09-21
AMBP,4.5983,2026-09-21
AMC,2.82,2026-09-21
AMCR,42.29,2026-09-21
AMD,612.07,2026-09-21
AME,241.84,2026-09-21
AMGN,391.61,2026-09-21
AMH,31.36,2026-09-21
AMKR,51.41,2026-09-21
AMLX,32.11,2026-09-21
AMR,177.2675,2026-09-21
AMRX,21.04,2026-09-21
AMT,174.84,2026-09-21
AMX,22.36,2026-09-21
AMZN,258.08,2026-09-21
AN,169.995,2026-09-21
ANDE,68.91,2026-09-21
ANET,202.65,2026-09-21
ANF,138.42,2026-09-21
AOS,56.95,2026-09-21
APA,43.7626,2026-09-21
APD,282.045,2026-09-21
APG,37.66,2026-09-21
APH,80.735,2026-09-21
APLD,28.43,2026-09-21
APLE,15.555,2026-09-21
APP,326.2917,2026-09-21
APPF,212.15,2026-09-21
APPN,38.0,2026-09-21
APTV,44.14,2026-09-21
AQN,5.275,2026-09-21
AR,33.96,2026-09-21
ARCB,126.81,2026-09-21
ARE,54.015,2026-09-21
ARE.TO,49.64,2026-09-21
ARGX,996.35,2026-09-21
ARIS,18.91,2026-09-21
ARMK,56.65,2026-09-21
AROC,30.815,2026-09-21
ARQT,25.615,2026-09-21
ARW,218.68,2026-09-21
ARWR,67.78,2026-09-21
ARX.TO,33.91,2026-09-21
ASAN,9.58,2026-09-21
ASH,68.82,2026-09-21
ASML,1703.3101,2026-09-21
ASND,239.195,2026-09-21
ASO,49.2,2026-09-21
ASX,43.34,2026-09-21
ATAI,7.35,2026-09-21
ATD.TO,79.87,2026-09-21
ATH.TO,10.02,2026-09-21
ATI,187.955,2026-09-21
ATKR,94.48,2026-09-21
ATMU,44.84,2026-09-21
ATO,159.59,2026-09-21
ATR,125.13,2026-09-21
ATRC,57.5,2026-09-21
ATRL.TO,88.365,2026-09-21
ATRO,69.39,2026-09-21
ATZ.TO,125.26,2026-09-21
AU,100.945,2026-09-21
AUPH,16.725,2026-09-21
AVA,36.4,2026-09-21
AVAH,13.57,2026-09-21
AVAV,164.46,2026-09-21
AVGO,360.29,2026-09-21
AVNT,40.615,2026-09-21
AVPT,13.505,2026-09-21
AVT,95.79,2026-09-21
AVTR,15.19,2026-09-21
AVY,170.405,2026-09-21
AWI,161.44,2026-09-21
AWK,135.02,2026-09-21
AWR,85.595,2026-09-21
AXGN,45.555,2026-09-21
AXON,454.36,2026-09-21
AXSM,204.72,2026-09-21
AXTA,32.025,2026-09-21
AXTI,79.045,2026-09-21
AYA.TO,40.15,2026-09-21
AYI,304.67,2026-09-21
AZN,167.69,2026-09-21
AZZ,133.255,2026-09-21
B,42.725,2026-09-21
BA,201.0905,2026-09-21
BAH,77.71,2026-09-21
BALL,60.46,2026-09-21
BATRK,51.59,2026-09-21
BAX,22.925,2026-09-21
BB,8.425,2026-09-21
BBIO,66.085,2026-09-21
BBUC,25.95,2026-09-21
BBWI,17.47,2026-09-21
BBY,94.025,2026-09-21
BC,66.825,2026-09-21
BCC,75.83,2026-09-21
BCE.TO,31.0,2026-09-21
BCO,107.205,2026-09-21
BCPC,167.82,2026-09-21
BCRX,8.745,2026-09-21
BDC,111.2775,2026-09-21
BDT.TO,80.82,2026-09-21
BDX,180.42,2026-09-21
BE,276.55,2026-09-21
BEAM,25.21,2026-09-21
BELFB,244.095,2026-09-21
BEP,29.85,2026-09-21
BEPC,30.005,2026-09-21
BFAM,64.27,2026-09-21
BG,113.94,2026-09-21
BHC,5.605,2026-09-21
BHE,76.505,2026-09-21
BHP,85.99,2026-09-21
BIIB,220.49,2026-09-21
BILL,47.265,2026-09-21
BIO,376.855,2026-09-21
BIP,36.03,2026-09-21
BIPC,36.33,2026-09-21
BJ,92.26,2026-09-21
BKD,11.42,2026-09-21
BKE,40.86,2026-09-21
BKH,72.7,2026-09-21
