ticker,name,sector,industry,country,market_cap,n_years,fiscal_years,roic_avg,roic_trend,roic_latest,fcf_margin_avg,fcf_positive_years,fcf_years,rev_cagr,net_debt,ebitda_latest,nd_to_ebitda,net_cash,share_change,gm_avg,gm_std,exclude_reason,exchange,currency,price,market_cap_usd,dollar_volume_usd
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,United States,962422898688.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,362.06,962422898688.0,2994521141.0
V,Visa Inc.,Financial Services,Credit Services,United States,707144187904.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,378.75,707144187904.0,2947131772.0
MA,Mastercard Incorporated,Financial Services,Credit Services,United States,513087799296.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,585.71,513087799296.0,1970259912.0
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,United States,440822890496.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,63.04,440822890496.0,2059580407.0
HSBC,HSBC Holdings plc,Financial Services,Banks - Diversified,United Kingdom,364732678144.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,106.46,364732678144.0,144475056.0
MS,Morgan Stanley,Financial Services,Capital Markets,United States,341048459264.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,217.15,341048459264.0,1169917991.0
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,United States,302215528448.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,1037.93,302215528448.0,2152446779.0
RY.TO,Royal Bank of Canada,Financial Services,Banks - Diversified,Canada,404765736960.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",TOR,CAD,292.37,293512687182.0,675670792.0
BABA,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,China,277917564928.0,4,"2023,2024,2025,2026",,,,,,,,,,,,,,,country China,NYQ,USD,111.81,277917564928.0,1422044639.0
MUFG,"Mitsubishi UFJ Financial Group, Inc.",Financial Services,Banks - Diversified,Japan,271601598464.0,4,"2023,2024,2025,2026",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,24.13,271601598464.0,75403523.0
