ticker,name,sector,industry,country,market_cap,n_years,fiscal_years,roic_avg,roic_trend,roic_latest,fcf_margin_avg,fcf_positive_years,fcf_years,rev_cagr,net_debt,ebitda_latest,nd_to_ebitda,net_cash,share_change,gm_avg,gm_std,exclude_reason,exchange,currency,price,market_cap_usd,dollar_volume_usd,score_roic,score_fcf,score_growth,score_balance,score_shares,score_gm_stability,quality_score,rank,pulled,eps_fy0_now,eps_fy0_chg_30d,eps_fy0_chg_90d,rev_up30_fy0,rev_down30_fy0,eps_fy1_now,eps_fy1_chg_30d,eps_fy1_chg_90d,rev_up30_fy1,rev_down30_fy1,price_ps,forward_pe,ev_ebitda,median_pe_hist,median_ev_ebitda_hist,n_hist_years,pe_vs_median,ev_vs_median,high_52w,ath,dd_52w,dd_ath,short_pct_float,insider_pct,next_earnings,multiples_note,bucket_compounder,bucket_cyclical_turn
EXEL,"Exelixis, Inc.",Healthcare,Biotechnology,United States,14651331584.0,4,"2022,2023,2024,2025",0.1755783330488408,0.2802540294286954,0.343232318320433,0.2220945148397271,4.0,4.0,0.1292751520741946,-886053000.0,921756000.0,0.0,True,-0.1315427846041977,0.963299692730643,0.0017335035159869,,NMS,USD,59.13,14651331584.0,151189734.0,88.6,85.4,72.5,100,100,98.3,89.9,1,2026-09-04,3.58182,0.013115727842283098,0.00741678268573609,6.0,3.0,4.26091,0.05224802066509615,0.05254954078128926,4.0,6.0,58.529998779296875,13.877317,13.699,23.78165644484681,15.412135630105114,4,-0.41646970503574643,-0.11115498015465042,59.72,58.529998779296875,-0.01992634328036036,0.0,0.1546,0.01845,2026-10-27,,True,False
MEDP,"Medpace Holdings, Inc.",Healthcare,Diagnostics & Research,United States,16562497536.0,4,"2022,2023,2024,2025",0.6226745972578775,0.4157861066441674,0.9694925621526952,0.2479313641014245,4.0,4.0,0.2011659349353136,-383406000.0,563059000.0,0.0,True,-0.1230732677972141,0.296528809787867,0.0119391523329431,,NMS,USD,593.39,16562497536.0,179404346.0,100.0,88.0,84.9,100,100,64.2,89.9,2,2026-09-04,17.70463,0.034509093118866296,0.03503465290099306,9.0,0.0,19.31014,0.029239572828698712,0.04031445175394888,9.0,1.0,593.02001953125,30.72945,26.512,31.848171155956187,25.210997943446728,4,-0.035126700069462724,0.05160454415456606,677.9,620.75,-0.12521017918387667,-0.04467173655859846,0.0706,0.19461,2026-10-19,,True,False
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,United States,110925045760.0,4,"2022,2023,2024,2025",0.1878026366818372,-0.0389675642108693,0.1995685428515395,0.3966326269934813,4.0,4.0,0.1337825597298969,-8947000000.0,2544000000.0,0.0,True,-0.0838235294117647,0.8275578569366353,0.003598592295739,,NMS,USD,185.25,110925045760.0,808329112.0,80.8,95.6,73.4,100,100,92.9,89.3,3,2026-09-04,5.29333,0.03955482411349753,0.03992652403685604,24.0,5.0,6.18575,0.023990080833262928,0.025286788581165176,20.0,11.0,183.25999450683594,30.171648,36.091,31.309199095539558,29.784662977474518,4,-0.03633280723880339,0.21173101831955687,193.453,216.83999633789062,-0.05268982901874908,-0.15486073786280963,0.0311,0.01923,2026-11-05,,True,False
ADBE,Adobe Inc.,Technology,Software - Application,United States,113585627136.0,4,"2022,2023,2024,2025",0.3104698649130988,0.1477609704558187,0.4137015645152246,0.3895858881630262,4.0,4.0,0.1052233993251612,779000000.0,9815000000.0,0.0793683138053999,False,-0.0934182590233545,0.8846932579714483,0.0068950773525394,,NMS,USD,285.75,113585627136.0,1777617889.0,100.0,95.5,66.2,85,100,81.6,89.0,4,2026-09-04,24.41081,3.277247341726408e-06,0.03688442074447629,0.0,0.0,27.49816,0.000410741564972561,0.042337266050698874,0.0,0.0,279.7900085449219,10.391604,11.824,37.9466966079418,26.01344799315254,4,-0.7261526053937154,-0.54546586814972,370.86,688.3699951171875,-0.24556434087008072,-0.5935470596778544,0.0506,0.00223,2026-09-10,,True,False
LOPE,"Grand Canyon Education, Inc.",Consumer Defensive,Education & Training Services,United States,3973614592.0,4,"2022,2023,2024,2025",0.2879767569094459,0.0240841620354476,0.3136819453511894,0.2173634245404475,4.0,4.0,0.0666930393748099,-192756000.0,343223000.0,0.0,True,-0.1306883394856841,0.5295326514321269,0.0041734454096387,,NMS,USD,152.45,3973614592.0,54072643.0,99.8,84.8,53.6,100,100,90.9,88.6,5,2026-09-04,10.22667,0.015222374329045163,0.0016327130264446321,2.0,0.0,11.32333,0.01433264088762054,-0.0027890797005724055,2.0,0.0,149.58999633789062,13.463354,10.46,20.303907321111023,13.327735321628712,4,-0.3369082222907186,-0.21517048864069577,223.04,220.5500030517578,-0.32931314410917045,-0.3217411277805087,0.066599995,0.02179,2026-11-04,,True,False
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,United States,225954201600.0,4,"2023,2024,2025,2026",0.3855011205515486,0.0003249849167646,0.4149217229218855,0.3029085660343613,4.0,4.0,0.0896464900241904,4237573000.0,6284343000.0,0.6743064469905605,False,-0.0589845616286947,0.6049736578685941,0.0062629383153077,,NMS,USD,172.94,225954201600.0,2185707897.0,100.0,91.9,61.7,85,100,83.6,87.9,6,2026-09-04,5.45272,0.0007928933264811366,0.08685088070735647,21.0,1.0,6.68948,0.021406933281215457,0.13115674417975454,11.0,1.0,172.25999450683594,25.852533,37.525,35.040692569741566,26.553304537718468,4,-0.2622139831127581,0.4131951052154901,307.37,301.7099914550781,-0.4395679652964313,-0.4290543920137829,0.0216,0.0012899999,2026-10-28,,True,True
ASML,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands,632301551616.0,4,"2022,2023,2024,2025",0.3930790188200674,-0.0285294524143322,0.3951398444367602,0.2788216202319192,4.0,4.0,0.1555113426332901,-8931000000.0,12550300000.0,0.0,True,-0.0228643216080401,0.5148393702673898,0.0083505483259643,,NMS,USD,1646.19,632301551616.0,3012484899.0,92.8,90.8,78.4,100,80,75.9,87.5,7,2026-09-04,38.18989,0.003663025804384601,0.21342447229069395,28.0,0.0,51.70263,0.012033781026212553,0.24931719951643982,28.0,0.0,1682.300048828125,27.40751,2661.014,,,0,,,1999.96,1989.43994140625,-0.15883315224898253,-0.1543851041620392,0.0034999999,0.00016000001,2026-10-14,"statements in EUR, price in USD, own-history multiples skipped",False,False
DOCS,"Doximity, Inc.",Healthcare,Health Information Services,United States,4830466048.0,4,"2023,2024,2025,2026",0.15469751528718,0.067492525266211,0.1772094270626826,0.4372103122927397,4.0,4.0,0.1545157107212069,-738416000.0,229303000.0,0.0,True,-0.0673632423567998,0.8896915339127138,0.0108240693627147,,NYQ,USD,27.1,4830466048.0,126739410.0,83.4,96.5,78.0,100,100,67.5,87.0,8,2026-09-04,1.35204,-0.05645735341326241,-0.056404673171140285,0.0,14.0,1.54936,-0.027761044176706773,-0.02838293762777333,2.0,7.0,26.31999969482422,17.491093,19.925,44.82713898380955,35.52027074648875,4,-0.6098101864962351,-0.4390526991698218,76.51,102.0199966430664,-0.6559926846840385,-0.7420113648218494,0.1479,0.02816,2026-11-05,,True,False
MANH,"Manhattan Associates, Inc.",Technology,Software - Application,United States,12964111360.0,4,"2022,2023,2024,2025",0.644624735222997,0.1413558091082815,0.6907526345051069,0.2765407921480247,4.0,4.0,0.1212782793873943,-272567000.0,289054000.0,0.0,True,-0.0371246530406258,0.5451739038050611,0.0118407837220715,,NMS,USD,222.35,12964111360.0,175014353.0,100.0,90.7,70.8,100,80,64.3,86.4,9,2026-09-04,5.50218,0.026059032828339213,0.027302345989040244,11.0,1.0,6.13611,0.0281513379467504,0.032045654082528685,11.0,1.0,216.77000427246094,36.236313,44.412,68.07878447150391,54.16011252554969,4,-0.4677297298813021,-0.17998693265179389,227.03,309.7799987792969,-0.045192246520455726,-0.3002453188499785,0.048499998,0.01352,2026-10-27,,True,False
ADSK,"Autodesk, Inc.",Technology,Software - Application,United States,49641680896.0,4,"2023,2024,2025,2026",0.2317217724316224,-0.0310804422776199,0.2271707670043415,0.301888762955728,4.0,4.0,0.1291805581163574,234000000.0,1989000000.0,0.1176470588235294,False,-0.0137614678899082,0.906664625746011,0.0020878515968545,,NMS,USD,237.52,49641680896.0,591703411.0,86.3,91.8,72.4,85,80,97.6,86.2,10,2026-09-04,12.59504,-0.0013574201405627262,-0.00036508979621652227,1.0,2.0,14.18783,-0.004944478070012415,-0.005206112993336176,2.0,1.0,241.72999572753906,16.741108,21.904,58.74790715219288,42.029096549509845,4,-0.7150348189148197,-0.4788372390018588,329.09,342.2699890136719,-0.2654593098315382,-0.2937446942861145,0.0396,0.0023,2026-11-27,,True,False
PAYC,"Paycom Software, Inc.",Technology,Software - Application,United States,10840626176.0,4,"2022,2023,2024,2025",0.2695983236073275,0.0302854653129373,0.2632917123881028,0.1778941795378142,4.0,4.0,0.1426572993146497,-279700000.0,799100000.0,0.0,True,-0.0356682423721529,0.8340432815892161,0.0083435822727789,,NYQ,USD,240.52,10840626176.0,223017841.0,98.6,78.3,75.6,100,80,76.1,86.1,11,2026-09-04,12.09355,0.10800571706047823,0.10744766579366694,16.0,0.0,13.9501,0.13645139688834518,0.134095461699554,16.0,0.0,236.25,17.241453,15.557,29.06758124052811,17.030134490296426,4,-0.4068494087165144,-0.08650163574079817,244.98,553.22998046875,-0.035635562086700934,-0.5729624056168718,0.0681,0.14254,2026-11-04,,True,False
QLYS,"Qualys, Inc.",Technology,Software - Infrastructure,United States,6031638528.0,4,"2022,2023,2024,2025",0.3458335214954554,-0.0472173105564544,0.3176093792602018,0.4046976916538837,4.0,4.0,0.109648895054456,-393665000.0,236443000.0,0.0,True,-0.073480073200488,0.8103115988273677,0.0140892644148654,,NMS,USD,174.35,6031638528.0,133615563.0,92.0,95.9,68.2,100,100,56.6,85.9,12,2026-09-04,7.78229,0.027040973211092334,0.028087052557043357,19.0,0.0,8.41509,0.01740757891020661,0.018698331725303996,17.0,2.0,170.8300018310547,20.718735,22.222,35.5573471059755,24.44019391555202,4,-0.4173149380843949,-0.09076007838630584,201.54,205.88999938964844,-0.15237669032919177,-0.17028509234313238,0.1617,0.00452,2026-11-03,,True,False
BKNG,Booking Holdings Inc.,Consumer Cyclical,Travel Services,United States,146616877056.0,4,"2022,2023,2024,2025",0.4288472356236796,0.2876510982902272,0.5079160206718346,0.3399210557490493,4.0,4.0,0.1634869878187224,1533000000.0,9217000000.0,0.1663230986221113,False,-0.1850843902926195,,,,NMS,USD,195.13,146616877056.0,1304254774.0,100.0,93.1,79.7,85,100,50.0,85.8,13,2026-09-04,10.44865,0.00021538520447239584,-0.0005691274654218148,13.0,13.0,12.37711,0.0075600932577024604,0.005240981175350656,14.0,12.0,199.60000610351562,15.765393,14.436,29.492782633615963,18.432016166905093,4,-0.4654491169636006,-0.21679756195526723,226.1004,232.6367950439453,-0.11720631142839366,-0.14201016195305216,0.028299998,0.00176,2026-10-27,,True,False
PCTY,Paylocity Holding Corporation,Technology,Software - Application,United States,8550171136.0,4,"2023,2024,2025,2026",0.1794087807079892,0.043039971784016,0.206367924250787,0.2145559197992355,4.0,4.0,0.1467526351467838,-138945000.0,497790000.0,0.0,True,0.0067142554244115,0.6880245044550284,0.0024459335731178,,NMS,USD,154.43,8550171136.0,117042651.0,89.4,84.6,76.5,100,55,96.8,85.8,14,2026-09-04,8.72032,0.0035849223803883223,0.002081080553100856,13.0,6.0,9.68598,0.004742610676475634,0.003941770013319079,10.0,3.0,154.60000610351562,15.943663,18.82,55.21537448784679,22.848473951826495,2,-0.7112459501020085,-0.17631260452317699,178.91,305.75,-0.13587834048674963,-0.4943581157693684,0.0714,0.20136,2026-11-03,,True,False
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,United States,3787919458304.0,4,"2023,2024,2025,2026",0.2812949471780027,-0.0095288407038615,0.2821778980320336,0.2597223950312134,4.0,4.0,0.1612397915820203,19359000000.0,207519000000.0,0.0932878435227617,False,-0.0025428265524625,0.6886309136705198,0.0064455222703931,,NMS,USD,510.12,3787919458304.0,18921819435.0,89.4,89.2,79.5,85,80,83.0,85.3,15,2026-09-04,19.75306,0.018027898404701093,0.020019230193262683,20.0,9.0,23.57328,0.04277387916299524,0.04177064878211101,19.0,4.0,496.82000732421875,21.639755,19.769,35.82338100749631,24.14539182242578,4,-0.395932087050306,-0.18125163818468548,553.72,542.0700073242188,-0.10275950421834368,-0.08347630267050621,0.0092,0.00092,2026-10-28,,True,False
HRB,"H&R Block, Inc.",Consumer Cyclical,Personal Services,United States,6298888192.0,4,"2023,2024,2025,2026",0.4371904496720259,0.0933568238579407,0.5006511189380111,0.1873773927998686,4.0,4.0,0.0435079634149602,532787000.0,1056939000.0,0.5040849093467078,False,-0.1266025641025641,0.4457601896808012,0.001813149327381,,NYQ,USD,51.1,6298888192.0,112188364.0,100.0,79.9,43.8,85,100,98.2,85.0,16,2026-09-04,6.146,0.05556032632030927,0.05556032632030927,4.0,0.0,6.605,,,1.0,0.0,50.959999084472656,7.3993626,7.225,12.503416717459782,7.135620800926217,3,-0.40821274958647713,0.01252577758366602,58.67,66.5999984741211,-0.13141300350310803,-0.23483483105072,0.2367,0.01314,2026-11-05,,True,False
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,United States,4995684352.0,4,"2022,2023,2024,2025",0.2232969818059494,-0.0888464958869653,0.1661879402147767,0.2122265136012746,4.0,4.0,0.1616453433592901,-85822000.0,327236000.0,0.0,True,-0.0959167900231866,0.3697488048758981,0.0120484121578567,,NYQ,USD,71.64,4995684352.0,57121939.0,85.5,84.2,79.6,100,100,63.5,84.7,17,2026-09-04,2.95973,0.009746994364006056,-0.009169367149629126,4.0,0.0,3.62338,0.005664771008362601,0.05142535459758113,4.0,1.0,72.13999938964844,19.771595,13.533,20.01147462560362,11.312153239631265,4,-0.011987103903712493,0.19632396355701487,74.07,73.7300033569336,-0.026056441344019965,-0.0215652230420742,0.056399997,0.00972,2026-11-04,,True,False
FTNT,"Fortinet, Inc.",Technology,Software - Infrastructure,United States,114723471360.0,4,"2022,2023,2024,2025",1.2905109331223223,-0.4943375161671937,0.8348388396454474,0.3243405897630778,4.0,4.0,0.1546194776009137,-2586200000.0,2454300000.0,0.0,True,-0.0505401713647087,0.7828442943131306,0.0226832744035378,,NMS,USD,156.36,114723471360.0,874767122.0,94.8,92.6,78.1,100,100,37.1,84.5,18,2026-09-04,3.45035,-5.796479797814946e-06,0.09298281181695489,40.0,0.0,3.76979,0.0050227275756808965,0.10037625039770459,39.0,0.0,154.5399932861328,41.462704,42.844,40.947175739837256,31.085928837773835,4,0.012590081021416788,0.3782441638976679,173.89,172.77999877929688,-0.11127728284471317,-0.10556780658658993,0.0234,0.17361,2026-11-04,,False,False
INCY,Incyte Corporation,Healthcare,Biotechnology,United States,25945311232.0,4,"2022,2023,2024,2025",0.1290723173872255,0.1709817112256194,0.2493474509228679,0.174591028298935,4.0,4.0,0.1483959547833886,-3540192000.0,1760165000.0,0.0,True,-0.1038498289857919,0.9310152991164976,0.0049188504486213,,NMS,USD,128.0,25945311232.0,233744256.0,75.5,77.6,76.9,100,100,88.4,84.2,19,2026-09-04,3.47935,-0.011890765132539283,-0.5489921071836424,0.0,11.0,8.93998,0.017321820350123307,-0.014071024541304822,2.0,9.0,128.8300018310547,14.317706,11.042,38.26822251525394,18.080334082293714,4,-0.625859131704043,-0.3892811963682927,132.6,152.66000366210938,-0.028431358740160673,-0.15609852783574485,0.079,0.01832,2026-10-27,,True,False
