ticker,name,sector,industry,country,market_cap,n_years,fiscal_years,roic_avg,roic_trend,roic_latest,fcf_margin_avg,fcf_positive_years,fcf_years,rev_cagr,net_debt,ebitda_latest,nd_to_ebitda,net_cash,share_change,gm_avg,gm_std,exclude_reason,exchange,currency,price,market_cap_usd,dollar_volume_usd,score_roic,score_fcf,score_growth,score_balance,score_shares,score_gm_stability,quality_score,rank,pulled,eps_fy0_now,eps_fy0_chg_30d,eps_fy0_chg_90d,rev_up30_fy0,rev_down30_fy0,eps_fy1_now,eps_fy1_chg_30d,eps_fy1_chg_90d,rev_up30_fy1,rev_down30_fy1,price_ps,forward_pe,ev_ebitda,median_pe_hist,median_ev_ebitda_hist,n_hist_years,pe_vs_median,ev_vs_median,high_52w,ath,dd_52w,dd_ath,short_pct_float,insider_pct,next_earnings,multiples_note,bucket_compounder,bucket_cyclical_turn
STRL,"Sterling Infrastructure, Inc.",Industrials,Engineering & Construction,United States,14071635968.0,4,"2022,2023,2024,2025",0.1964949778381103,0.1073012649392612,0.2319457274612272,0.1604426899076078,4.0,4.0,0.1206182169244469,-40807000.0,505377000.0,0.0,True,0.012531082319068,0.1894033122115119,0.0286464413818435,,NMS,USD,460.03,14071635968.0,358280105.0,91.8,75.1,70.7,100,55,29.2,73.5,143,2026-09-04,20.03429,0.048915706806282655,0.11283929331228482,2.0,0.0,25.39625,-0.028452563121652674,0.1334722264994057,2.0,0.0,457.6000061035156,18.114092,19.578,20.08642832791375,10.294358293341087,4,-0.09819248577771444,0.9018183982059418,1005.68,993.739990234375,-0.5449844820385057,-0.5395173681240402,0.040999997,0.022939999,2026-11-02,,True,True
RMBS,Rambus Inc.,Technology,Semiconductors,United States,9147651072.0,4,"2022,2023,2024,2025",0.1172177096943628,0.1756071809955668,0.1696537317917804,0.4164302389427934,4.0,4.0,0.1587706545746687,-736850000.0,325318000.0,0.0,True,-0.0021649371528792,0.7843186005927771,0.0155174530649193,,NMS,USD,84.34,9147651072.0,245885511.0,71.1,96.1,79.1,100,80,52.0,79.7,61,2026-09-04,3.0325,0.0,0.03380799296362835,5.0,1.0,3.69667,0.0,0.01680896478121663,4.0,1.0,84.72000122070312,22.815126,26.365,32.03636400627368,29.422878708643864,3,-0.2878365973263347,-0.10392860395898385,174.1,170.66000366210938,-0.5133831061418546,-0.5035743618730919,0.0679,0.00759,2026-10-26,,True,True
UI,Ubiquiti Inc.,Technology,Communication Equipment,United States,36072493056.0,4,"2023,2024,2025,2026",0.6154752477268736,0.194047848145147,0.6683433968919199,0.1775681955988799,3.0,4.0,0.1904960086042639,-531238000.0,1204386000.0,0.0,True,0.0019685365006367,0.417858918006017,0.0317110107095476,,NYQ,USD,595.96,36072493056.0,74274495.0,100.0,78.2,83.4,100,55,26.1,77.6,89,2026-09-04,17.714,0.027851920622026016,0.027851920622026016,0.0,1.0,19.579,,,0.0,0.0,598.3699951171875,30.438736,29.51,29.88420699183245,23.537958582252593,4,0.018555921805758713,0.2537195992115593,1099.99,1084.5,-0.4560223319146651,-0.44825265549360305,0.0925,0.92999,2026-11-06,,False,True
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,United States,3408389888.0,4,"2022,2023,2024,2025",0.2240050840361176,-0.161087445099249,0.120755859074861,0.1492846694314641,4.0,4.0,-0.030234697982405,-331924000.0,161226000.0,0.0,True,-0.0558702522210959,0.441772086254406,0.0062431591840108,,NMS,USD,110.37,3408389888.0,56152062.0,85.6,72.3,15.9,100,100,83.8,75.8,113,2026-09-04,4.106,0.0709441836202398,0.0709441836202398,4.0,0.0,5.268,0.08663366336633671,0.08663366336633671,2.0,2.0,110.7699966430664,20.951025,30.95,15.994855745997938,11.589540880241831,4,0.30986020334957654,1.6705113101386453,193.78,200.47999572753906,-0.42837239837410257,-0.4474760624316473,0.0785,0.0068,2026-11-03,,False,True
EXPO,"Exponent, Inc.",Industrials,Engineering & Construction,United States,3330603264.0,4,"2022,2023,2024,2025",0.2503637313594367,-0.1190041611526571,0.2208587485096364,0.205661298615321,4.0,4.0,0.0427720050086817,-139096000.0,129870000.0,0.0,True,-0.0198163733741392,,,,NMS,USD,70.05,3330603264.0,37327333.0,87.3,82.8,43.4,100,80,50.0,75.4,117,2026-09-04,2.5121,0.01757185910107273,0.01757185910107273,3.0,0.0,2.83786,0.02823622338247711,0.02823622338247711,3.0,0.0,70.02999877929688,24.684093,24.265,43.804465599691895,34.11691565983794,4,-0.43649368478601824,-0.2887692357089451,81.95,125.30000305175781,-0.14545456035025173,-0.44110138009837474,0.083900005,0.01158,2026-10-29,,True,True
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,United States,225954201600.0,4,"2023,2024,2025,2026",0.3855011205515486,0.0003249849167646,0.4149217229218855,0.3029085660343613,4.0,4.0,0.0896464900241904,4237573000.0,6284343000.0,0.6743064469905605,False,-0.0589845616286947,0.6049736578685941,0.0062629383153077,,NMS,USD,172.94,225954201600.0,2185707897.0,100.0,91.9,61.7,85,100,83.6,87.9,6,2026-09-04,5.45272,0.0007928933264811366,0.08685088070735647,21.0,1.0,6.68948,0.021406933281215457,0.13115674417975454,11.0,1.0,172.25999450683594,25.852533,37.525,35.040692569741566,26.553304537718468,4,-0.2622139831127581,0.4131951052154901,307.37,301.7099914550781,-0.4395679652964313,-0.4290543920137829,0.0216,0.0012899999,2026-10-28,,True,True
NVMI,Nova Ltd.,Technology,Semiconductor Equipment & Materials,Israel,11218032640.0,4,"2022,2023,2024,2025",0.1353315200606057,-0.0633085351873436,0.1056936860221432,0.237297177589433,4.0,4.0,0.155524431837396,517218000.0,275834000.0,1.8751060420397776,False,0.0291810480075305,0.5677094374720562,0.0079750382905894,,NMS,USD,352.7,11218032640.0,191258276.0,68.0,87.2,78.5,65,55,77.6,73.1,148,2026-09-04,10.67346,0.020483363004124566,0.03334682283508017,5.0,1.0,13.6602,0.05358796983666525,0.09343269604056692,6.0,1.0,349.6000061035156,25.819534,37.123,33.17632026470855,30.650882130330636,4,-0.22174810847043702,0.21115600660852962,615.99,605.6500244140625,-0.4324583092200919,-0.42276893913818137,0.056999996,0.001,2026-11-05,,True,True
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,345937051648.0,4,"2022,2023,2024,2025",0.3158237371383479,-0.1138437969431914,0.2670634037819799,0.2354016417148186,4.0,4.0,0.0323347045688675,-1523000000.0,9975000000.0,0.0,True,-0.0786773090079817,0.4733638287640326,0.0084970801973951,,NMS,USD,435.91,345937051648.0,4125788327.0,91.3,86.8,38.0,100,100,75.3,82.2,33,2026-09-04,12.79441,0.042434202217932926,0.04695432302832914,7.0,0.0,18.46078,0.09206693626053264,0.14244357489279968,9.0,0.0,438.4599914550781,23.620426,33.88,18.704395337921262,15.001564534177124,4,0.26282756396364126,1.2584311071564116,739.67,723.0,-0.40722215115513927,-0.39355464529034834,0.015,0.0033000002,2026-11-12,,False,True
GNTX,Gentex Corporation,Consumer Cyclical,Auto Parts,United States,4812007424.0,4,"2022,2023,2024,2025",0.1653542924402919,0.0082063266766156,0.1625999703032821,0.1468199622812694,4.0,4.0,0.0971409084802903,-147236356.0,589622256.0,0.0,True,-0.070533852561037,0.3311995365130286,0.0086790033946263,,NMS,USD,22.84,4812007424.0,59891596.0,86.9,71.7,63.7,100,100,74.7,81.8,37,2026-09-04,2.10061,0.0024050735599383533,0.054131497335327294,6.0,0.0,2.21307,-0.003467265858238311,0.0005877645505636409,4.0,2.0,22.860000610351562,10.320505,7.431,17.03693164667122,11.884046048202748,4,-0.39422748097856675,-0.37470790925420494,29.38,37.689998626708984,-0.2219196524727174,-0.39347303148608126,0.0752,0.00472,2026-10-23,,True,True
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,United States,25279219712.0,4,"2022,2023,2024,2025",0.4100244231070784,-0.2406709568430549,0.3304487475898052,0.3426376510974764,4.0,4.0,0.0614558171674997,-128634000.0,673552000.0,0.0,True,-0.0073882590687393,0.9069713882933572,0.0353567285062763,,NYQ,USD,366.5,25279219712.0,139525817.0,93.0,93.3,51.5,100,80,23.4,76.2,106,2026-09-04,8.80048,0.016441194576658047,-0.032759102009772945,0.0,2.0,9.76488,0.007881492735732465,-0.03488682389359021,0.0,1.0,367.32000732421875,5.012308,33.777,40.893354074227176,29.859261370115647,4,-0.8774297654601293,0.13120681658272315,547.2,576.6666870117188,-0.32872805679053596,-0.3630289115057651,0.092,0.00171,2026-11-04,,True,True
